Date,Open,High,Low,Close,Volume
2024-01-01,2500,2550,2480,2520,1200000
2024-01-02,2520,2580,2510,2570,1500000
2024-01-03,2570,2600,2550,2585,1300000
2024-01-04,2585,2620,2570,2610,1700000
2024-01-05,2610,2650,2600,2630,1600000
2024-01-06,2630,2660,2620,2655,1800000
2024-01-07,2655,2680,2640,2670,1400000
2024-01-08,2670,2700,2660,2695,1500000
2024-01-09,2695,2730,2680,2710,1750000
2024-01-10,2710,2750,2700,2740,1900000
2024-01-11,2740,2780,2730,2765,2000000
2024-01-12,2765,2800,2750,2785,2100000
2024-01-13,2785,2820,2770,2800,2200000
2024-01-14,2800,2850,2790,2830,2300000
2024-01-15,2830,2870,2820,2860,2400000
2024-01-16,2860,2900,2850,2885,2500000
2024-01-17,2885,2920,2870,2900,2600000
2024-01-18,2900,2950,2890,2930,2700000
2024-01-19,2930,2980,2920,2960,2800000
2024-01-20,2960,3000,2950,2985,2900000
